community,children,sex,age,treatment,deaths,persontime
FOU LAN ZAM:KOURINGUEL:BOBOYE-4,63,0.42857143,29.888889,0,2,54775.5
GABI KANE:LOGA:LOGA-2,227,0.43612334,30.356829,0,31,182038.5
GAMSA ZOUGOU:KOURINGUEL:BOBOYE-4,74,0.45945945,31,0,2,70331.5
GANDATCHE (KARRA):KARRA:BOBOYE-3,73,0.52054793,30.164383,0,4,47026.5
GANDATCHE (TONKOSSARE):TONKOSSARE:BOBOYE-5,46,0.65217394,32.391304,1,3,34107
GANGANI BERI:KOURINGUEL:BOBOYE-4,26,0.61538464,37.076923,0,0,31504
GARBEY GOROU:LOGA:LOGA-2,185,0.51351351,29.594595,0,10,147260.5
GARBOU:GUILLADJE:BOBOYE-2,57,0.33333334,27.929825,1,3,47297
GARDI BELLAH:KOYGOLO:BOBOYE-4,72,0.65277779,34.638889,1,2,51942
GARDI BERI DJERMA:KOYGOLO:BOBOYE-4,247,0.43319839,30.813765,1,11,184349
GARDI MAGUIS KOIRA:KOYGOLO:BOBOYE-4,81,0.50617284,32.975307,1,4,60594.5
GARDIE:FALWEL:LOGA-1,314,0.477707,29.649681,0,12,208478
GAROU BANDA 1:BIRNI:BOBOYE-1,218,0.61467892,30.770641,1,1,120870
GAROU BANDA VA:BIRNI:BOBOYE-1,32,0.65625,39.15625,1,1,17763.5
GAROU DJERMA:BIRNI:BOBOYE-1,153,0.55555558,31.810457,1,8,113938
GAROU PEULH:BIRNI:BOBOYE-1,121,0.49586776,34.966942,1,6,79747
GAROUBEYE:TINOMA:BOBOYE-5,185,0.45945945,31.318918,1,4,119578
GASSI:BOUKI:LOGA-1,220,0.51363635,31.622726,0,20,183986
GNANFEREY:TONKOSSARE:BOBOYE-5,155,0.54838711,29.458065,1,2,105558
GNARGANDE BERI:KANKANDI:BOBOYE-3,121,0.53719008,31.694216,0,11,92240
GNIKOLI:SARGADJI:LOGA-2,82,0.43902439,33.621952,1,3,54862.5
GNOUMAY KAGOUROU PEULH:BIRNI:BOBOYE-1,90,0.47777778,31.211111,0,0,51374.5
GNOUMAY KAGOUROU ZARMA:BIRNI:BOBOYE-1,134,0.52238804,34.507462,0,2,74693.5
GOBERI ELH:FABIDJI:BOBOYE-2,74,0.2972973,27.094595,1,3,55120.5
GOBERI GOUBEY:FABIDJI:BOBOYE-2,317,0.51735014,29.365931,0,9,186188.5
GOBERI NIAMAGALE:FABIDJI:BOBOYE-2,213,0.61971831,31.12676,0,14,128207.5
GOBERI NIAMANGAL (PEULH):FABIDJI:BOBOYE-2,134,0.5970149,31.694031,1,2,67453
GOBIRKO BERI (BANIZOUMBOU):KOBODEYE:BOBOYE-3,292,0.58904111,28.955479,0,32,213192.5
GOBIRKO BERI (ZANGUINA):KOBODEYE:BOBOYE-3,194,0.48453608,29.613401,1,28,150372.5
GOMBEWA:KOBODEYE:BOBOYE-3,258,0.55038762,32.217052,1,26,174090
GONAN DADJI:KOURO BERI:LOGA-1,77,0.49350649,31.584415,1,3,41173.5
GONDA KOIRA ZENO:AYO KOIRA:LOGA-1,55,0.56363636,31,1,1,38821.5
GONGA KAINA TOMBO:AYO KOIRA:LOGA-1,75,0.51999998,31.053333,1,3,50801
GONGA KAINA:LOGA:LOGA-2,103,0.45631069,30.009708,1,7,68560
GONGAFO PEULH:TONKOSSARE:BOBOYE-5,112,0.51785713,28.160715,0,3,53806.5
GONGAIZE KOIRA:LOGA:LOGA-2,198,0.530303,30.818182,1,17,136076.5
GONGOU-KOIRA:KOKIRE MODI:LOGA-1,65,0.60000002,31.923077,0,4,45777
